"","document","topic","gamma"
"48","The Inauguration Show",1,6.41617561880386e-06
"49","This American Life’s Holiday Gift-Giving Guide",1,0.126687925480443
"50","Trail of Tears",1,8.13803282762862e-06
"51","When You Talk About Music",1,8.29148774098275e-06
"52","Who's Canadian?",1,0.30678242704405
"53","Who Do You Think You Are?",1,7.48041636903946e-06
"54","Before It Had A Name",1,8.14398313089945e-06
"55","Poultry Slam 1997",1,0.053500243850812
"56","Dolls",1,0.685015000551398
"57","Hearts and Minds",1,8.13704038457956e-06
"58","Image Makers",1,6.93118483630561e-06
"59","Kindness of Strangers",1,0.112718226606795
"60","Leave the Mask On",1,7.53778531376803e-06
"61","No Coincidence, No Story!",1,6.97603782746003e-06
"62","Pinned by History",1,8.10841383756699e-06
"63","Poultry Slam 1999",1,0.0073706013817606
"64","Poultry Slam 2007",1,0.00902193785893484
"65","The Real Story",1,7.14304311474668e-06
"66","Thought That Counts",1,0.00560561964068936
"67","Three Kinds of Deception",1,7.21241773168024e-06
"68","Valentine’s Day ‘97",1,0.534384525553162
"69","Them",1,7.7546787048513e-06
"70","The Book That Changed Your Life",1,0.0434311803284422
"71","Burroughs 101",1,7.85954922250403e-06
"72","Animals Die, People Ponder",1,0.58127409997181
"73","Batman",1,7.28553455101718e-06
"74","Blame It on Art",1,0.027783936068157
"75","Cicero",1,7.0600445289995e-06
"76","Desperate Measures",1,7.18141987231667e-06
"77","Do-Gooders",1,7.03700201349504e-06
"78","Dream House",1,0.00259738705135049
"79","Father's Day '01",1,0.00386844241053826
"80","Father’s Day ‘98",1,6.76217838650274e-06
"81","From A Distance",1,0.00370344660784597
"82","Heretics",1,7.02516567501951e-06
"83","Human Resources",1,0.0101124932506042
"84","Human Spectacle",1,7.55995267946624e-06
"85","Ladies and Germs",1,0.00101880373017768
"86","Lincoln's Second Inaugural",1,0.00679761601177951
"87","MacGyver",1,0.0380723226510236
"88","My Brilliant Plan",1,7.27759954899845e-06
"89","Naming Names",1,0.0611656657175897
"90","Notes on Camp",1,7.04590294572964e-06
"91","Origin Story",1,6.78276670668718e-06
"92","Origin Story 2014",1,6.83898432143051e-06
"93","Our Friend David",1,0.175715891828662
"94","Radio",1,7.13008850017785e-06
"95","Rich Guys",1,0.00580323715298658
"96","Sentencing",1,7.23505765971153e-06
"97","Sibling Rivalry",1,0.661389757405127
"98","Simulated Worlds",1,0.0150299652601526
"99","Sinatra",1,0.0945342511367361
"100","Special Ed",1,7.78992834951732e-06
"101","Stuck In The Middle",1,6.86991473414367e-06
"102","Stuck in the Wrong Decade",1,0.099079993966077
"103","Superpowers",1,0.025473569121981
"104","Superpowers 2013",1,0.00925037800143388
"105","Testosterone",1,0.254357348070496
"106","The Kids Are Alright",1,7.71440092399999e-06
"107","This Week",1,3.45641678141632e-06
"108","Twentieth Century Man",1,7.45538358778616e-06
"109","Vacations",1,0.103002529809063
"110","What Remains",1,0.0689769579070408
"111","A Front",1,6.98259647226188e-06
"112","Name Change / No Theme",1,8.53829118061185e-06
"113","Kids As Adults",1,7.41156837231691e-06
"114","Auto Show",1,6.95064704442266e-06
"115","Stories Pitched by Our Parents",1,6.46333220372046e-06
"116","Pimp Anthropology",1,7.57623441104207e-06
"117","Leaving the Fold",1,6.90326514747511e-06
"118","The Job That Takes Over Your Life",1,0.128684308010691
"119","Accidental Documentaries",1,8.51327619994531e-06
"120","American Limbo",1,6.70384859173587e-06
"121","Americans in China",1,7.15221638479399e-06
"122","Anger and Forgiveness",1,0.0623295678237442
"123","Barbara",1,8.80719094846027e-06
"124","Conventions",1,0.0549712730369595
"125","Dawn",1,0.524776424706917
"126","Day At The Beach",1,0.0459445360360369
"127","Fall Clearance Sale",1,0.349572732458456
"128","Father's Day '96",1,7.87622031049588e-06
"129","Fiasco!",1,0.000981508031675506
"130","I Was So High",1,7.03033870640706e-06
"131","Million Bubbles",1,8.16287964486995e-06
"132","Miracle Cures",1,7.54118701780596e-06
"133","More Is Less",1,0.00301990760674469
"134","My Big Break",1,6.79725243137802e-06
"135","NUMMI",1,6.45833562940548e-06
"136","Primary",1,0.000772152565116009
"137","Sales",1,6.88619426745433e-06
"138","Secret Government",1,6.64915866281347e-06
"139","Sink or Swim",1,7.11490939685382e-06
"140","Spies Like Us",1,0.261684114563834
"141","Take A Negro Home",1,7.25547928999857e-06
"142","Ten Years In",1,6.06123502400575e-06
"143","The Middle of Nowhere",1,6.95353902933159e-06
"144","The Real Thing",1,0.0117421424088353
"145","Time to Save the World",1,7.20076094125389e-06
"146","Tough Room",1,6.6478366898196e-06
"147","Tough Room 2011",1,6.95136916117066e-06
"148","Trek",1,0.0228243211552654
"149","Two Nations, One President",1,7.65169574156228e-06
"150","Welcome to America",1,7.68159467011137e-06
"151","What Kind of Country",1,6.54882710892867e-06
"152","You Are Here",1,0.0246589142136201
"153","You Gonna Eat That?",1,0.383247745469503
"154","Plan B",1,6.62214975819142e-06
"155","Propriety",1,0.0335528123045686
"156","Reruns",1,7.30624146187851e-06
"157","Houses of Ill Repute",1,0.0325635699044596
"158","Letters",1,0.124177317208923
"159","Crime Scene",1,0.295047997009202
"160","Regrets, I've Had a Few",1,7.79083629761658e-06
"161","Your Dream, My Nightmare",1,0.0941914990651449
"162","Amateur Hour",1,0.0125964949582351
"163","Basketball",1,7.59604012706472e-06
"164","Be Careful Who You Pretend to Be",1,0.104480114928228
"165","Bob Dole",1,7.54885335425498e-06
"166","Can You Fight City Hall…If You Are City Hall?",1,0.00299200115580547
"167","Cops See It Differently, Part One",1,6.06783814605676e-06
"168","Election",1,6.98113889255524e-06
"169","Factions",1,0.158324082392473
"170","Family Physics",1,7.68954993949311e-06
"171","Home Movies",1,6.52389837529968e-06
"172","I Enjoy Being A Girl, Sort Of",1,0.131903629704095
"173","Immigration",1,7.01778999315673e-06
"174","In Country",1,7.27047298530997e-06
"175","It's Never Over",1,7.65695436207473e-06
"176","Last Words",1,0.011112717508107
"177","Lights, Camera, Christmas!",1,1.02230145643434e-05
"178","Nobody's Family Is Going to Change",1,7.23427619460878e-06
"179","Numbers",1,0.161899756943192
"180","Parent Trap",1,0.410865574971676
"181","Regime Change",1,0.0654144146029338
"182","Return to Childhood",1,7.66485770846584e-06
"183","Secret Life of Daytime",1,0.0563792038969543
"184","Should I Stay or Should I Go?",1,0.0109474121221952
"185","Social Contract",1,6.50168474760017e-06
"186","The Incredible Case of the P.I. Moms",1,6.65379391396607e-06
"187","The Leap",1,6.82571446314933e-06
"188","The Parrot and the Potbellied Pig",1,0.381449441825242
"189","True Urban Legends",1,6.44587867485863e-06
"190","Truth and Lies at Age Ten",1,7.2570547522713e-06
"191","Unconditional Love",1,0.0690526012653488
"192","Use Only as Directed",1,6.78414327734377e-06
"193","Valentine’s Day ’98",1,0.43914752777647
"194","War Stories",1,7.61942272949409e-06
"195","Will They Know Me Back Home?",1,0.00737859034162359
"196","81 Words",1,7.38291255024102e-06
"197","Ask An Expert",1,0.045742986867039
"198","Big Tent",1,6.78620973853797e-06
"199","Own Worst Enemy",1,6.69713089878202e-06
"200","Neighbors",1,0.391054781802547
"201","Name Change",1,0.0373408859645335
"202","Later That Same Day",1,0.110798808945925
"203","Georgia Rambler",1,0.00167968777302653
"204","Is That What I Look Like?",1,7.1202141669792e-06
"205","Something for Nothing",1,0.244777724598673
"206","Godless America",1,7.15757684576508e-06
"207","A Teenager's Guide to God",1,6.40572271811443e-06
"208","Apocalypse",1,7.55141150693111e-06
"209","Apology",1,0.257422561753315
"210","By Proxy",1,7.02516646523041e-06
"211","Fake I.D.",1,0.260397698415126
"212","Ghosts of Elections Past",1,7.27839287735311e-06
"213","Golden Calf",1,7.2460401406075e-06
"214","Gossip",1,0.0771671286348263
"215","Got Your Back",1,6.55011183779817e-06
"216","High Cost of Living",1,0.0679534968322033
"217","Invisible Made Visible",1,0.300326488424363
"218","Know Your Enemy",1,0.016192309213653
"219","Like It or Not",1,7.62463658725306e-06
"220","Lost in Translation",1,7.77814258070713e-06
"221","Love",1,0.284452522618294
"222","Nemeses",1,7.2421151457071e-06
"223","Nice Work If You Can Get It",1,0.0294248563173377
"224","No Place Like Home",1,0.00426362309077682
"225","Office Politics",1,0.0969332472295974
"226","Parental Guidance Suggested",1,0.137396729151157
"227","Perfect Evidence",1,6.92543847759505e-06
"228","Politics",1,7.89389589040056e-06
"229","Pursuit of Happiness",1,0.0241297280734276
"230","Recordings for Someone",1,7.51828297167109e-06
"231","Save the Day",1,6.64387321106968e-06
"232","Suckers",1,6.77177148368389e-06
"233","The Annoying Gap Between Theory...and Practice",1,0.0464599931830137
"234","The Invention of Money",1,6.86004254547238e-06
"235","The Psychopath Test",1,7.28632682876829e-06
"236","The Super",1,7.28871224752812e-06
"237","This I Used to Believe",1,6.52963375267179e-06
"238","Wait - Do You Have The Map?",1,6.82432139305657e-06
"239","We Didn’t",1,7.09753010359844e-06
"240","What You Lookin’ At?",1,0.398230209916594
"241","Harold",1,7.31263576942249e-06
"242","Middle of the Night",1,0.136292638875667
"243","Justice",1,7.33913531459089e-06
"244","Poultry Slam 2011",1,6.89329788977793e-06
"245","Defying Sickness",1,9.31408849413619e-06
"246","Teenage Embed, Part Two",1,7.70728270305632e-06
"247","Somewhere in the Arabian Sea",1,0.000792974109373599
"248","Windfall",1,0.0497855004955012
"249","2010",1,0.274272931895231
"250","And the Call Was Coming from the Basement",1,0.357158814143071
"251","David and Goliath",1,7.69840733123991e-06
"252","Going Big",1,6.74920512831651e-06
"253","Habeas Schmabeas",1,7.39843861391326e-06
"254","Habeas Schmabeas 2007",1,7.0630276287972e-06
"255","Hiding in Plain Sight",1,7.15298187098295e-06
"256","It Says So Right Here",1,6.92472126618365e-06
"257","Mapping",1,7.65257233033939e-06
"258","Mr. Daisey and the Apple Factory",1,0.00420964071277086
"259","My Two Cents",1,6.60252401373507e-06
"260","Neighborhood Watch",1,0.25196408722186
"261","Special Treatment",1,0.00207296792830497
"262","Take the Money and Run for Office",1,7.00895844934891e-06
"263","The Prosecutor",1,6.99794918297265e-06
"264","Very Tough Love",1,5.94795939699251e-06
"265","Wake Up Now",1,6.67905964152247e-06
"266","When Patents Attack!",1,6.74647706561275e-06
"267","When Patents Attack... Part Two!",1,6.81527064708861e-06
"268","Back from the Dead",1,6.27521170816045e-06
"269","Guns",1,7.18682390199326e-06
"270","Classifieds",1,0.0268093656642749
"271","Crush",1,0.468409503145409
"272","Democratic Convention",1,7.04070860756821e-06
"273","Got You Pegged",1,6.85020032842609e-06
"274","Say Anything",1,0.05302960751789
"275","Christmas",1,0.0665252334197008
"276","Prom",1,7.72420688649706e-06
"277","Right to Remain Silent",1,6.30361894620455e-06
"278","Americans In Paris",1,0.0296083168470705
"279","Escape the Box",1,0.00378442387858143
"280","Moving",1,0.00725330031153085
"281","The Fix Is In",1,7.54544076952731e-06
"282","Valentine’s Day ’99",1,0.0674406199297398
"283","How We Talked Back Then",1,7.4553845769155e-06
"284","Middlemen",1,7.92008479685828e-06
"285","Scenes from A Transplant",1,0.341350191425012
"286","Shoulda Been Dead",1,8.34428123286052e-06
"287","Throwing the First Punch",1,0.291060637967004
"288","Pro Se",1,6.95715882388456e-06
"289","Republican Convention",1,7.49972381465609e-06
"290","The Alibi",1,6.43966800798759e-06
"291","The This American Life Holiday Spectacular",1,0.158671814093841
"292","What Is This Thing?",1,0.214540350348913
"293","Crybabies",1,0.0226945277390777
"294","180 Degrees",1,7.05631760195321e-06
"295","Christmas and Commerce",1,0.112466026809288
"296","Amusement Park",1,6.47272174948144e-06
"297","Cringe",1,7.13922935360246e-06
"298","Return to Childhood 2008",1,8.02565168099765e-06
"299","Self-Improvement Kick",1,7.01852595724399e-06
"300","The Ten Commandments",1,7.10130209718662e-06
"301","One of Us",1,0.0549604196245049
"302","Show Me the Way",1,0.00810697756566311
"303","The Cruelty of Children",1,0.311536078016923
"304","Hitler’s Yacht",1,6.90183864261716e-06
"305","Fire",1,0.0116516615557437
"306","A Night at the Wiener Circle",1,0.0372551352026876
"307","Send a Message",1,6.995022246525e-06
"308","Adult Children",1,0.0632151785536909
"309","Star-Crossed Love",1,0.279032156238009
"310","Small Scale Sin",1,7.05333825839306e-06
"311","Julia Sweeney",1,0.0696246423241437
"312","Wrong Side of History",1,7.02959900724761e-06
"313","Monogamy",1,0.189446076648072
"314","Mind Your Own Business",1,7.11642393867843e-06
"315","Father’s Day ‘99",1,7.56166307376293e-06
"316","Faustian Bargains",1,6.90112745651393e-06
"317","Mob Mentality",1,0.0150841185413378
"318","Social Engineering",1,7.45621623414509e-06
"319","One Thing",1,0.117409970071834
"320","Adventures in the Simple Life",1,0.0295264168734159
"321","Infidelity",1,0.0651100665828262
"322","Poultry Slam 2008",1,7.18064830298726e-06
"323","Allure of Crime",1,7.37802208822666e-06
"324","The View From In Here",1,6.41186734674894e-06
"325","If You Don’t Have Anything Nice to Say, SAY IT IN ALL CAPS",1,0.0311621468190572
"326","In Dog We Trust",1,0.588336625134682
"327","Cat and Mouse",1,0.0114582546153257
"328","First Day",1,0.0412301370855555
"329","Know When To Fold ‘Em",1,7.30224965275983e-06
"330","Mortal Vs. Venial",1,6.50231837100212e-06
"331","My Reputation",1,6.26169060512029e-06
"332","Ruining It for the Rest of Us",1,7.40746042296384e-06
"333","The Cat Came Back",1,0.124161235438712
"334","The Missing Parents Bureau",1,6.74648192397312e-06
"335","Somewhere Out There",1,0.148889677078118
"336","Reap What You Sow",1,7.48544442072568e-06
"337","20 Acts in 60 Minutes",1,0.0521336063947856
"338","Media Fringe",1,0.0972616273884288
"339","Telephone",1,8.72441748099102e-06
"340","Not What I Signed Up For",1,6.45958368163196e-06
"341","Mistakes Were Made",1,0.016332906743674
"342","How to Talk to Kids",1,6.97749382474861e-06
"343","Lost in America",1,0.0351888616107258
"344","Fine Print",1,7.31824157164689e-06
"345","Fine Print 2011",1,7.27760092225252e-06
"346","Act V",1,7.84294772450798e-06
"347","Away From Home",1,9.29465769255508e-06
"348","Drama Bug",1,0.0951576631483319
"349","Comedians of Christmas Comedy Special",1,8.39247853275526e-06
"350","The Angels Wanna Wear My Red Suit",1,0.115143648822435
"351","How to Win Friends and Influence People",1,7.15221631438034e-06
"352","Mother’s Day",1,0.337483512215133
"353","Scenes From a Recession",1,6.75261545006152e-06
"354","Tribes",1,0.00546942645226434
"355","A Better Mousetrap",1,0.00915398830487192
"356","A Better Mousetrap 2008",1,6.68641193059453e-06
"357","Another Frightening Show About the Economy",1,6.50421431370875e-06
"358","Economy",1,7.24211518111943e-06
"359","Good Guys",1,7.47121752538435e-06
"360","Harper High School - Part Two",1,6.40020235474769e-06
"361","Hit the Road",1,7.90696894968507e-06
"362","How to Take Money from Strangers",1,7.35852762090755e-06
"363","I Was Just Trying To Help",1,6.49095116830153e-06
"364","In the Shadow of the City",1,6.86074634478062e-06
"365","Is This Working?",1,6.21799842400365e-06
"366","It's Not the Product, It's the Person",1,6.90326391735136e-06
"367","Million Dollar Idea",1,7.1845059470341e-06
"368","Other People's Mail",1,0.321715086036319
"369","Petty Tyrant",1,6.61690460097757e-06
"370","Quitting",1,0.480369308270806
"371","See No Evil",1,0.0104963268427813
"372","Small Towns",1,7.65695512824615e-06
"373","Switcheroo",1,6.33108760232553e-06
"374","Teenaged Girls",1,0.44124482002309
"375","The New Boss",1,6.90897385430629e-06
"376","The Radio Drama Episode",1,5.75091877832783e-06
"377","Toxie",1,6.63859352835341e-06
"378","Valentine’s Day 2008",1,0.407466936572955
"379","A House Divided",1,6.91254739310366e-06
"380","Adventure!",1,0.0404980243913935
"381","Advice",1,0.026692838155964
"382","Animal Sacrifice",1,0.351389413105491
"383","Animals",1,0.672388563653421
"384","Arms Trader 2009",1,7.08849505825824e-06
"385","Babysitting",1,0.00139056714791092
"386","Bedside Diplomacy",1,0.303531430609329
"387","Best Interests",1,0.336828870830681
"388","Birthdays, Anniversaries, and Milestones",1,0.274655943159727
"389","Break-Up",1,6.84879572755262e-06
"390","Brother’s Keeper",1,7.40171833807869e-06
"391","Call For Help",1,0.0463232329144986
"392","Confessions",1,6.77383123351951e-06
"393","Death and Taxes",1,0.288199375171604
"394","Delivery",1,0.142912590124222
"395","Didn’t Ask to Be Born",1,0.00645331882965936
"396","DIY",1,6.73085202979171e-06
"397","Duty Calls",1,0.0012078876049941
"398","Edge of Sanity",1,0.469946490203077
"399","Enemy Camp",1,0.00234783714095207
"400","Enemy Camp 2010",1,7.33189104494356e-06
"401","Enforcers",1,6.32988850759707e-06
"402","Faith",1,7.20231266463752e-06
"403","Fear of Sleep",1,0.0152698854409665
"404","Frenemies",1,0.111634738322791
"405","Give the People What They Want",1,0.0730243804427883
"406","Hoaxing Yourself",1,7.24211552929397e-06
"407","I'm From the Private Sector and I'm Here to Help",1,6.89329731648864e-06
"408","I’m In Charge Now",1,0.00761342902049398
"409","Island Time",1,6.6757259223047e-06
"410","Life After Death",1,7.25942013699546e-06
"411","Living Without (2011)",1,0.320316992078036
"412","Magic Words",1,6.89970266990127e-06
"413","Matchmakers",1,0.124623889402067
"414","Meet the Pros",1,6.5694262774922e-06
"415","Middle School",1,6.60382843621117e-06
"416","Mob",1,0.105498514834113
"417","My Experimental Phase",1,7.75827909283189e-06
"418","My Pen Pal",1,7.39189517413591e-06
"419","New Beginnings",1,7.85585240759772e-06
"420","Picture Show",1,6.76491640261696e-06
"421","Poultry Slam 1995",1,0.241484680831508
"422","Poultry Slam 1996",1,0.193765509739406
"423","Poultry Slam 1998",1,0.015032367718873
"424","Promised Land",1,0.323280970228298
"425","Quiz Show",1,7.16064528604576e-06
"426","Rashomon",1,7.61334285311836e-06
"427","Remember Me",1,0.0343862857763734
"428","Rest Stop",1,6.72949849357366e-06
"429","Return To The Scene Of The Crime",1,0.0542978896476955
"430","Road Trip!",1,0.0215667762009569
"431","Scenes From a Mall",1,6.57330381167758e-06
"432","Seemed Like A Good Idea at the Time",1,7.37232589046726e-06
"433","Slow To React",1,6.65445829561221e-06
"434","Summer",1,0.296188409113703
"435","Tarred and Feathered",1,7.11036685972285e-06
"436","The Arms Trader",1,7.01410487331177e-06
"437","The Audacity of Government",1,6.56490996600711e-06
"438","The Balloon Goes Up",1,7.5454432066383e-06
"439","The Competition",1,6.15841239152041e-06
"440","The Convert",1,6.99648314730566e-06
"441","The Devil in Me",1,6.94054052167315e-06
"442","The Friendly Man",1,0.16388670073992
"443","The One Thing You're Not Supposed To Do",1,7.14609770702323e-06
"444","The Spokesman",1,6.52772132657358e-06
"445","The Truth Will Out",1,0.00283064192409152
"446","This Call May Be Recorded... To Save Your Life",1,7.40171630613897e-06
"447","This Is Not My Beautiful House",1,6.67305984053214e-06
"448","Three Women and the Sex Industry",1,0.454998718971869
"449","Thugs",1,0.0028321220784811
"450","Turncoat",1,6.68908760194656e-06
"451","Two Steps Back",1,6.78552003168085e-06
"452","Valentine’s Day",1,6.61690417571982e-06
"453","What I Did For Love",1,6.70183177147263e-06
"454","What I Should’ve Said",1,6.24472461741988e-06
"455","Who Can You Save?",1,0.18183015431242
"456","With Great Power",1,0.0685911946515695
"457","Obsession",1,0.334554272704371
"458","Someone to Watch Over Me",1,0.299831602873713
"459","Invisible Worlds",1,0.059922601644242
"460","The Bridge",1,7.0555724392558e-06
"461","Before and After",1,0.00630480845676514
"462","500!",1,6.94559103023574e-06
"463","Detectives",1,0.325918429695688
"464","Cops See It Differently, Part Two",1,6.17035161237803e-06
"465","How To",1,0.0392686276287958
"466","A Very Special Sedaris Christmas",1,0.233262589514477
"467","Backed Into A Corner",1,6.90041381287329e-06
"468","Devil on My Shoulder",1,7.26889375514341e-06
"469","Dr. Gilmer and Mr. Hyde",1,6.9957533400512e-06
"470","Enemies",1,6.97822383499486e-06
"471","Enemy Camp ‘04",1,7.4263895689204e-06
"472","Except For That One Thing",1,6.78345625038144e-06
"473","Family Legend",1,0.23427483349755
"474","First Contact",1,7.80904218576384e-06
"475","Game Changer",1,6.52071418702695e-06
"476","Garbage",1,0.0195179059800976
"477","High Speed Chase",1,0.0207496720696828
"478","How Bad Is Bad?",1,7.3206446959063e-06
"479","Iraq After Us",1,7.05482681493768e-06
"480","Kid Politics",1,6.89400824216114e-06
"481","Last Man Standing",1,7.51574599718815e-06
"482","Liars",1,8.12220838349112e-06
"483","Living the Dream",1,0.288880683698982
"484","Long Shot",1,0.0735995837161293
"485","Man vs. History",1,0.0901709956516795
"486","Music Lessons",1,0.0366695543339329
"487","Original Recipe",1,6.38979898164673e-06
"488","Poultry Slam 2003",1,0.0121838800123268
"489","Pray",1,7.3110353568527e-06
"490","Sissies",1,0.0256111134795588
"491","Starting from Scratch",1,0.00123670809742358
"492","Stories of Loss",1,7.75918104761449e-06
"493","Tales from the Net",1,7.8319188173211e-06
"494","The Other Man",1,7.28474046425351e-06
"495","The Sanctity of Marriage",1,6.89970195953538e-06
"496","The Seven Things You’re Not Supposed to Talk About",1,0.0113598398480742
"497","Three Miles",1,6.85793124643199e-06
"498","Trends With Benefits",1,6.88761338242069e-06
"499","Why We Fight",1,6.64651367093806e-06
"500","After the Flood",1,6.69713023719921e-06
"501","Business of Death",1,0.135196516397125
"502","Character Assassination",1,7.40335805514433e-06
"503","Contents Unknown",1,0.0311895297148366
"504","Dead Men Tell No Tales",1,7.08699358985259e-06
"505","Doppelgängers",1,7.28235848615616e-06
"506","Double Lives",1,8.80951512083502e-06
"507","Fall Guy",1,7.25390591194681e-06
"508","Getting and Spending",1,6.81249622079802e-06
"509","Go Ask Your Father",1,7.12021314970049e-06
"510","Held Hostage",1,7.26099814258608e-06
"511","Home Alone",1,0.0361237046992063
"512","How I Got Into College",1,6.7132745237556e-06
"513","How to Rest in Peace",1,0.164336203975348
"514","Living Without",1,0.424926766860049
"515","Lockup",1,0.221830438339252
"516","Memo to the People of the Future",1,0.0940101399965008
"517","Not What I Meant",1,0.0469551637021066
"518","Oh You Shouldn't Have",1,0.0306972639351307
"519","Reunited (And It Feels So Good)",1,7.5275981229613e-06
"520","Running After Antelope",1,0.410993339825733
"521","Secret Identity",1,0.0151267845295679
"522","Settling the Score",1,0.00433195109481155
"523","Switched At Birth",1,0.360762332885621
"524","The Ghost of Bobby Dunbar",1,0.185858501959548
"525","The Secret Recordings of Carmen Segarra",1,0.0150799203472363
"526","Urban Nature",1,0.195915089290169
"527","Where Words Fail",1,7.55567915769396e-06
"528","You Are So Beautiful…To Me",1,0.52169527757029
"529","Kid Logic",1,0.27544693495141
"530","Lessons",1,0.378064025108591
"531","Ties That Bind",1,0.338249031006607
"532","Red State Blue State",1,0.0172028977204735
"533","Allure of the Mean Friend",1,0.00278265231526207
"534","Come Back to Afghanistan",1,7.77633196787066e-06
"535","Death to Wacky",1,0.00441600061297055
"536","Big Wide World",1,6.63595529473179e-06
"537","Blackjack",1,0.000817046765320754
"538","Mind Games",1,0.000817046765320754
"539","What Happened At Dos Erres",1,0.000817046765320754
"540",NA,1,0.00759323196051215
"541","Put Your Heart In It",2,0.335072772190078
"542","Strangers in a Strange Land",2,0.412864895195932
"543","Taking Names",2,0.0602694099240411
"544","What’s In A Number?",2,0.220494177931792
"545","What’s In A Number? — 2006 Edition",2,0.190921828376204
"546","Bait and Switch",2,0.303442859305935
"547","Ground Game",2,0.221228306784425
"548","Swing Set",2,0.194559157867429
"549","Inside Job",2,6.6123228647962e-06
"550","Return To The Giant Pool of Money",2,0.0584386456877097
"551","The Giant Pool of Money",2,0.0365443050152234
"552","The Center for Lessons Learned",2,0.163983265164026
"553","The Watchmen",2,7.43630674086742e-06
"554","A Not-So-Simple Majority",2,0.0385987594903715
"555","No Map",2,0.232403108775668
"556","Play the Part",2,0.47912193521764
"557","This Party Sucks",2,0.155333561503915
"558","Father's Day 2011",2,0.422154168454742
"559","Old Boys Network",2,0.111589508795404
"560","129 Cars",2,0.277495749023708
"561","#1 Party School",2,0.248898595482774
"562","A Little Bit of Knowledge",2,0.468374646055286
"563","Back to Penn State",2,0.366006557742272
"564","Continental Breakup",2,7.07798992038999e-06
"565","Four Corners",2,0.191896591027469
"566","Get Over It!",2,0.301611417690353
"567","Halloween",2,0.492102896706119
"568","House on Loon Lake",2,0.304266173758456
"569","I Know What You Did This Summer",2,0.0396676918243942
"570","New Year",2,0.534427036100362
"571","Niagara",2,0.165656158543023
"572","Someone Else's Money",2,0.0273099701878847
"573","The Facts Don’t Matter",2,0.116805049315865
"574","What I Learned from Television",2,0.306274695660294
"575","Haunted",2,0.337011349139524
"576","24 Hours at the Golden Apple",2,0.437886805614159
"577","Bad Baby",2,0.422963797513194
"578","Bad Bank",2,0.052710925614676
"579","Fake Science",2,0.234663732439976
"580","Family Business",2,0.110937165923855
"581","Give It to Them",2,0.158147262647352
"582","Hot In My Backyard",2,0.0843614700194933
"583","House Rules",2,0.0674203488760791
"584","How To Create a Job",2,0.0333365445012059
"585","Shouting Across the Divide",2,0.243931283155078
"586","So Crazy It Just Might Work",2,0.408359754483513
"587","Surrogates",2,0.159474971573294
"588","The Inauguration Show",2,0.20717691289744
"589","This American Life’s Holiday Gift-Giving Guide",2,0.165606763395305
"590","Trail of Tears",2,0.160529085037836
"591","When You Talk About Music",2,0.343029127835149
"592","Who's Canadian?",2,0.280150947395959
"593","Who Do You Think You Are?",2,0.394463247351529
"594","Before It Had A Name",2,0.313430812215165
"595","Poultry Slam 1997",2,0.142611960543345
"596","Dolls",2,0.0207270173424353
"597","Hearts and Minds",2,0.0805206053894442
"598","Image Makers",2,0.362780021303418
"599","Kindness of Strangers",2,0.328599668671333
"600","Leave the Mask On",2,0.377149959228755
