id,region1,region2,region3,region4,homeowner,n_children,hh_income,female,wealth_rating,avg_home_value,median_neighborhood_income,avg_neighborhood_income,pct_low_income,lifetime_promotions_received,lifetime_gifts,largest_gift,most_recent_gift,months_since_gift,gift_time_lag,average_gift_amount,donor,damt
957,0,0,0,1,1,0,4,1,9,87,16,35,30,85,203,69,36,21,4,14.56,1,19
1053,0,0,1,0,1,0,4,0,9,127,38,38,16,84,119,23,17,16,8,11.46,1,19
1112,1,0,0,0,1,2,5,0,9,158,41,60,1,81,230,18,17,23,6,11.12,1,19
1583,0,0,0,1,1,0,4,1,6,405,195,195,0,44,70,30,35,16,5,17.27,1,19
1607,1,0,0,0,1,2,4,1,6,177,50,53,10,72,82,50,37,16,5,44.12,1,19
1835,0,0,0,0,1,0,5,1,4,296,71,87,1,114,130,49,49,19,11,19.52,1,19
1881,0,0,0,1,1,0,4,0,6,162,37,47,20,20,54,23,19,23,4,19.68,1,19
1906,0,0,0,1,1,0,5,1,7,139,22,34,12,96,330,21,20,15,13,13.41,1,19
2118,0,0,1,0,1,0,4,1,9,118,42,45,29,54,89,12,6,23,15,16.4,1,19
2319,0,1,0,0,0,0,4,1,8,186,37,41,15,41,77,14,18,16,5,6.29,1,19
2497,0,0,0,0,1,0,5,0,8,172,31,48,15,97,96,57,29,16,3,21.31,1,19
2592,0,1,0,0,1,0,4,1,9,250,67,83,2,13,102,102,25,17,22,37.36,1,19
2608,0,1,0,0,1,0,4,1,6,219,38,42,12,16,102,102,26,20,8,25.28,1,19
2881,0,0,0,1,1,0,5,1,6,183,47,51,6,111,199,12,5,18,7,10.44,1,19
2961,0,0,0,0,1,0,4,1,5,262,67,76,7,61,88,16,13,19,18,11.03,1,19
3129,0,0,0,1,1,0,5,0,8,94,19,36,35,71,101,28,44,16,7,23.76,1,19
3308,0,1,0,0,1,0,7,1,8,214,61,61,9,86,119,47,27,20,6,17.29,1,19
3607,0,0,0,1,1,2,4,0,6,165,31,47,24,56,90,33,19,17,5,31.6,1,19
3879,0,0,0,0,1,0,4,1,8,110,15,32,36,107,233,29,26,13,3,15.6,1,19
4035,0,0,0,0,1,0,2,1,9,710,287,287,1,144,678,16,15,13,6,9.95,1,19
4112,1,0,0,0,1,0,3,0,4,163,36,42,5,26,49,24,22,14,3,16.63,1,19
4320,0,0,0,1,1,0,4,0,7,141,35,50,24,112,169,21,29,19,3,15.32,1,19
4325,1,0,0,0,1,0,5,0,8,286,76,76,3,39,60,39,35,23,5,18.78,1,19
4387,0,0,1,0,1,0,4,1,7,124,27,44,29,52,105,13,17,23,5,6.76,1,19
4549,0,0,0,0,1,0,4,0,6,139,36,48,11,78,175,21,22,21,8,14.79,1,19
4582,1,0,0,0,1,0,5,0,9,326,81,84,1,85,93,24,26,14,5,15.64,1,19
4605,1,0,0,0,1,0,6,0,9,149,30,43,14,66,74,12,16,15,5,13.73,1,19
4629,0,1,0,0,1,1,4,1,4,150,26,38,15,65,102,24,16,19,6,19.46,1,19
4897,0,0,0,0,1,0,4,0,8,249,51,70,6,76,256,14,20,19,7,13.18,1,19
5286,0,1,0,0,1,2,4,0,6,136,45,45,13,81,102,14,8,18,5,10.84,1,19
5315,0,0,0,1,1,0,4,1,4,81,17,17,51,142,348,13,19,18,5,18.37,1,19
5387,0,0,1,0,1,0,4,0,9,313,52,61,4,34,346,346,145,38,5,34.88,1,19
5408,0,0,0,1,1,0,4,0,8,124,17,29,42,51,86,50,35,20,6,20.3,1,19
5506,0,0,0,1,1,0,2,1,7,343,160,160,0,61,158,158,50,20,3,25.78,1,19
5532,0,0,1,0,1,0,4,1,7,196,28,51,3,50,81,38,27,15,7,15.14,1,19
5813,0,0,1,0,1,2,4,1,8,163,46,51,10,77,204,204,68,13,4,32.67,1,19
5901,1,0,0,0,1,0,4,0,9,76,18,22,41,86,140,16,11,30,15,11.52,1,19
6421,0,0,0,1,1,0,3,1,8,157,24,53,19,73,115,115,33,16,4,22.81,1,19
6480,0,0,0,0,1,0,5,0,7,264,119,119,1,93,191,48,34,12,6,21.43,1,19
6734,1,0,0,0,1,0,7,1,8,150,47,47,9,94,182,182,25,20,7,22.97,1,19
6777,0,0,1,0,1,1,4,0,7,154,21,37,30,74,101,95,32,20,3,10.98,1,19
7208,0,0,1,0,1,0,7,0,8,129,41,41,12,94,154,15,6,21,4,10.28,1,19
7517,0,0,0,0,1,0,6,1,5,120,35,38,28,39,139,139,51,18,7,22.53,1,19
7576,0,0,1,0,1,0,4,1,7,345,26,82,8,38,96,44,25,13,3,21.26,1,19
7677,0,0,0,1,1,1,4,1,9,201,71,71,3,112,190,71,46,21,4,37.08,1,19
7703,0,0,0,1,1,0,4,0,9,68,14,29,45,52,133,6,3,22,6,6.52,1,19
15,0,0,1,0,1,0,5,1,8,196,57,82,1,16,71,36,20,22,8,13.44,1,18
30,1,0,0,0,1,1,5,1,9,282,69,87,0,62,70,16,11,22,10,11.61,1,18
162,0,0,0,0,1,0,4,0,4,136,55,55,1,61,112,95,45,15,7,25.48,1,18
305,0,0,1,0,1,0,4,1,6,109,31,46,15,79,152,152,45,16,6,21.89,1,18
348,0,1,0,0,1,0,4,0,8,219,109,109,0,10,128,128,81,13,5,30.72,1,18
400,1,0,0,0,1,0,4,1,5,231,50,60,4,89,138,12,9,19,6,6.26,1,18
432,0,0,0,1,1,0,5,1,8,143,17,35,24,16,66,66,46,15,14,17.71,1,18
505,1,0,0,0,1,0,6,1,9,434,82,123,0,30,98,98,65,13,6,17.91,1,18
557,0,0,1,0,1,0,4,1,5,131,28,36,27,32,65,50,24,13,6,15.4,1,18
635,0,0,1,0,1,0,4,0,8,80,14,23,46,33,62,27,14,17,3,14.33,1,18
725,0,0,0,1,1,0,4,1,4,174,81,81,1,85,135,39,22,18,5,14.85,1,18
727,0,0,1,0,1,0,4,0,8,138,23,36,41,40,77,37,19,31,26,24.13,1,18
731,0,0,1,0,1,2,4,0,8,271,49,75,7,40,76,61,55,22,3,20.23,1,18
772,0,1,0,0,1,0,4,1,9,137,20,36,20,76,140,20,15,20,6,12.17,1,18
821,0,0,1,0,1,1,4,1,9,262,56,72,1,97,208,46,50,23,12,26.36,1,18
899,0,0,0,1,1,0,4,1,8,134,11,34,60,98,149,23,14,22,5,12.27,1,18
951,0,0,0,0,1,0,4,1,7,204,42,60,7,58,117,117,72,27,7,14.11,1,18
1006,0,0,0,0,1,2,4,0,8,251,53,73,3,65,125,22,20,20,6,12.2,1,18
1298,0,0,1,0,1,0,4,1,9,270,66,83,3,104,181,31,20,16,3,14.04,1,18
1415,0,0,0,1,1,0,2,1,7,182,64,64,2,102,281,12,7,12,4,9.43,1,18
1438,0,0,0,1,1,0,4,0,5,209,65,65,2,6,66,66,36,14,3,26.12,1,18
1555,0,0,1,0,1,1,2,1,7,195,70,70,2,61,138,21,22,15,3,14.82,1,18
1710,0,1,0,0,0,0,4,0,6,188,30,39,22,62,76,47,35,13,17,24.55,1,18
1742,1,0,0,0,1,0,2,0,8,120,44,49,6,20,59,59,37,18,4,17.88,1,18
1852,0,0,0,1,1,0,4,1,7,126,35,56,12,41,107,63,35,15,7,24.43,1,18
1866,0,0,1,0,1,0,4,0,6,152,32,53,23,67,95,34,26,21,6,17.25,1,18
1892,0,0,0,1,1,0,4,1,8,129,61,61,12,23,127,127,53,16,6,26.56,1,18
1990,1,0,0,0,1,0,6,1,7,140,31,40,26,89,157,40,22,16,15,25.67,1,18
1991,0,1,0,0,1,0,3,1,7,446,115,115,1,66,100,22,25,16,6,17.59,1,18
2052,0,0,0,1,1,2,4,1,4,261,45,59,2,106,211,25,24,17,5,16.79,1,18
2153,0,1,0,0,1,0,7,1,8,184,53,53,15,116,192,114,23,24,12,17.57,1,18
2210,1,0,0,0,1,0,2,0,8,289,34,62,10,59,94,57,48,19,4,18.17,1,18
2227,0,1,0,0,1,0,4,0,7,137,62,62,7,18,113,113,24,17,5,23.09,1,18
2346,0,0,0,1,1,0,4,1,6,129,27,36,37,104,130,12,5,8,10,9.22,1,18
2420,0,1,0,0,1,1,4,1,6,290,77,91,0,72,107,57,49,17,6,29.92,1,18
2422,0,0,0,1,1,1,4,1,7,248,31,62,6,124,297,17,26,19,8,9.9,1,18
2466,0,0,1,0,1,0,5,0,9,133,65,65,10,93,231,59,36,23,4,20.86,1,18
2557,0,1,0,0,1,0,5,1,8,101,31,31,31,26,51,22,15,13,8,17.63,1,18
2670,1,0,0,0,1,2,4,1,9,293,52,91,3,20,142,142,83,20,14,23.38,1,18
2675,1,0,0,0,1,0,4,1,7,284,67,89,0,104,276,104,54,14,5,46.76,1,18
2704,0,1,0,0,1,0,2,0,6,129,23,47,13,27,63,63,21,23,7,30.11,1,18
2815,0,1,0,0,1,0,5,1,5,86,19,28,36,99,198,17,14,13,18,12.39,1,18
2842,0,1,0,0,1,0,6,1,7,167,85,85,5,20,91,91,50,22,3,13.55,1,18
2927,1,0,0,0,1,0,4,1,6,106,17,26,36,65,87,21,15,13,10,7.35,1,18
2930,0,1,0,0,1,0,7,0,9,261,115,115,0,64,190,190,24,17,24,30.6,1,18
2941,0,0,0,1,1,2,4,1,9,163,30,38,18,64,97,23,28,17,4,16.59,1,18
2947,0,0,0,1,1,0,4,1,9,183,79,79,4,31,63,17,12,14,7,9.86,1,18
3053,0,0,0,1,1,0,4,1,8,159,29,52,27,57,57,45,34,19,9,31.81,1,18
3062,0,0,1,0,1,0,5,1,9,104,17,29,49,106,182,25,20,19,6,18.19,1,18
3098,0,0,0,0,1,0,4,0,8,136,64,64,2,89,124,17,16,16,4,11.46,1,18
3182,0,1,0,0,1,0,5,0,8,106,32,39,15,48,58,23,16,21,16,17.81,1,18
3253,0,1,0,0,1,0,5,0,9,76,17,24,32,41,89,73,42,22,6,34.29,1,18
3270,0,0,0,1,1,0,4,0,4,300,66,107,0,40,75,75,30,23,5,16.13,1,18
3305,0,0,0,1,1,0,4,0,8,308,65,90,1,21,55,32,28,14,4,13.8,1,18
3358,0,0,0,1,1,0,3,1,8,85,37,37,32,44,78,37,32,21,3,11.76,1,18
3496,0,0,0,0,1,0,4,0,8,263,81,88,1,70,182,35,19,23,8,23.23,1,18
3867,1,0,0,0,1,0,5,1,8,156,36,45,21,80,117,67,38,17,3,50.97,1,18
3875,1,0,0,0,1,0,4,0,8,177,41,41,21,48,96,96,38,14,7,38.98,1,18
3913,0,0,0,0,1,0,5,1,8,276,45,73,3,39,89,89,70,22,7,23.17,1,18
3944,0,0,1,0,1,0,3,0,8,247,58,76,0,104,174,14,11,12,7,9.51,1,18
4076,0,0,0,1,1,0,3,1,8,128,57,57,4,22,58,58,28,19,7,15.2,1,18
4085,0,0,1,0,1,0,5,0,9,226,84,84,0,108,167,8,5,18,6,6.4,1,18
4252,0,0,1,0,1,0,5,1,8,302,119,119,0,51,93,36,32,22,5,22.47,1,18
4272,0,0,0,1,1,0,5,1,8,261,83,105,1,97,257,15,8,14,8,14.12,1,18
4630,0,1,0,0,1,0,4,0,6,236,66,77,2,83,106,68,14,23,3,15.61,1,18
4639,0,0,0,0,1,0,4,0,8,180,32,52,11,43,88,53,47,17,4,17.34,1,18
4651,0,0,1,0,1,0,4,1,9,130,24,31,18,88,116,30,28,18,7,14.14,1,18
4685,0,0,0,1,1,0,4,1,8,190,57,74,0,124,183,28,9,22,7,5.8,1,18
4705,0,1,0,0,1,0,5,0,8,185,46,54,5,39,59,47,30,19,7,10.32,1,18
4818,0,1,0,0,1,0,4,0,9,99,17,22,41,16,129,129,34,17,4,23.28,1,18
4827,0,0,0,1,1,0,4,1,8,138,14,33,39,79,183,18,10,18,5,8.35,1,18
4835,0,0,0,0,1,0,4,1,4,349,58,116,4,22,157,157,89,22,3,21.75,1,18
4837,0,0,0,1,1,2,4,1,9,294,47,52,6,21,64,64,50,21,4,23.55,1,18
4892,0,1,0,0,1,0,4,0,8,100,22,26,22,114,130,16,14,11,6,11.62,1,18
4950,0,0,1,0,1,0,5,0,7,183,46,46,14,34,74,17,12,16,4,13.92,1,18
5044,0,0,0,1,1,0,6,1,9,121,20,30,36,70,77,29,28,18,5,22.44,1,18
5098,0,0,1,0,1,0,3,1,9,191,77,77,7,100,357,24,20,16,4,14.85,1,18
5230,0,0,1,0,1,0,4,1,5,251,56,71,2,103,147,36,27,9,6,26.45,1,18
5407,0,0,1,0,1,0,5,1,2,202,26,63,14,54,85,55,30,21,7,13.59,1,18
5430,0,1,0,0,1,0,5,1,5,331,70,76,2,131,236,52,49,23,12,13.08,1,18
5454,0,0,0,1,1,0,4,0,6,137,21,22,46,48,76,21,10,20,5,6.94,1,18
5568,0,1,0,0,1,0,4,1,7,300,73,73,3,85,147,68,28,21,8,23.89,1,18
5758,0,0,0,1,1,0,5,0,7,175,45,55,7,127,338,14,13,23,3,7.93,1,18
5867,0,0,0,1,1,0,4,1,8,176,59,73,7,37,63,25,19,18,4,15.01,1,18
5942,0,0,0,1,1,0,4,0,8,359,84,103,1,62,120,70,36,18,3,15.09,1,18
5975,0,0,1,0,1,0,4,0,9,115,17,24,30,98,182,27,17,13,4,13.34,1,18
5988,0,1,0,0,1,0,5,1,9,164,38,43,9,110,384,194,32,18,7,25.12,1,18
6041,1,0,0,0,1,2,4,1,8,187,35,56,7,86,162,16,12,20,6,6.45,1,18
6134,0,0,0,0,1,0,6,1,9,159,43,43,7,96,173,100,27,18,3,24.67,1,18
6268,0,0,0,1,1,0,4,1,8,145,50,50,11,100,217,69,27,39,5,24.06,1,18
6286,1,0,0,0,1,0,4,1,7,117,28,30,20,55,116,37,21,14,4,13.15,1,18
6323,0,0,0,1,1,0,4,1,9,248,43,73,6,18,80,80,47,15,4,19.1,1,18
6347,0,0,0,1,1,0,4,0,8,159,51,51,13,96,257,68,17,13,3,26.07,1,18
6379,0,0,0,1,1,2,4,1,8,226,88,88,4,107,179,135,39,21,5,23.86,1,18
6402,0,0,0,0,1,0,4,1,6,322,108,108,0,71,179,15,20,21,3,9.72,1,18
6506,0,0,0,1,1,0,4,1,8,217,54,62,4,71,154,47,42,18,6,19.96,1,18
6554,0,1,0,0,1,0,4,1,6,93,14,25,46,13,66,66,23,24,5,16.54,1,18
6559,0,0,0,1,1,0,4,0,9,244,68,68,1,79,99,34,21,22,5,22.07,1,18
6738,0,0,0,1,1,0,4,0,8,180,52,52,3,47,85,7,4,23,3,5.06,1,18
6760,0,0,0,0,1,0,5,1,7,171,21,53,35,72,136,78,28,13,3,38.24,1,18
6769,0,0,0,1,1,4,4,1,9,316,117,117,0,96,290,167,34,12,4,17.38,1,18
6953,0,0,1,0,1,0,7,1,3,194,40,45,6,100,140,24,42,20,4,15.12,1,18
6954,0,0,0,1,1,0,4,0,8,146,56,66,0,50,181,181,44,13,7,17.17,1,18
6958,0,0,0,1,1,0,3,0,4,173,105,105,2,61,200,12,5,23,5,6.96,1,18
6972,0,0,0,1,1,0,3,1,9,121,19,23,28,106,190,25,12,14,6,15.03,1,18
7095,0,0,1,0,1,0,5,1,8,87,24,27,29,61,110,41,46,22,5,21.15,1,18
7177,0,0,0,1,1,0,4,0,8,111,49,49,10,73,107,42,27,22,4,23.05,1,18
7192,0,0,0,1,1,0,3,1,8,361,149,149,0,113,268,27,23,18,5,13.89,1,18
7225,0,0,0,1,1,2,4,1,6,220,78,80,7,63,88,69,35,21,5,20.66,1,18
7355,0,0,0,1,1,1,4,1,9,160,42,49,3,80,147,100,50,14,5,32.65,1,18
7528,0,1,0,0,1,0,5,1,8,95,26,31,29,49,65,19,15,16,3,10.52,1,18
7770,0,0,0,1,1,0,4,1,9,153,40,54,8,28,51,12,20,21,3,5.62,1,18
7833,0,0,0,1,1,0,7,1,6,259,35,46,11,50,79,26,29,19,3,14.7,1,18
7837,0,1,0,0,1,0,7,1,8,91,21,29,47,50,90,51,33,13,7,12.73,1,18
7935,0,0,0,1,1,0,3,1,9,159,31,39,30,17,48,20,24,20,3,9.86,1,18
7952,1,0,0,0,1,0,4,0,6,209,33,67,14,86,219,25,13,22,5,19.62,1,18
5,0,0,1,0,1,0,4,1,4,295,39,71,14,85,132,15,10,10,6,12.07,1,17
12,0,0,0,1,1,3,4,1,6,272,69,69,0,98,169,29,36,23,7,8.97,1,17
57,1,0,0,0,1,1,4,1,7,124,41,41,12,24,56,53,56,13,4,22.5,1,17
68,1,0,0,0,1,0,4,0,8,266,42,78,4,7,162,162,30,13,8,16.8,1,17
93,0,1,0,0,1,0,4,1,6,145,61,61,6,68,107,24,28,8,6,17.15,1,17
179,0,0,0,1,1,2,4,1,9,220,58,58,5,25,62,20,20,18,3,19.17,1,17
235,1,0,0,0,1,3,4,1,9,170,34,57,24,87,273,57,39,20,5,38.56,1,17
241,0,0,1,0,1,2,4,0,8,216,53,57,10,121,150,84,52,18,4,28.71,1,17
294,0,1,0,0,1,2,4,1,6,118,31,40,27,76,221,9,11,15,4,11.02,1,17
308,0,1,0,0,1,0,4,0,7,104,16,30,48,45,55,12,12,16,4,6.93,1,17
339,0,0,0,0,1,0,4,1,8,164,54,54,6,40,161,161,68,17,7,40.58,1,17
357,1,0,0,0,1,0,4,1,5,175,54,59,1,43,67,19,16,22,5,23.26,1,17
399,0,0,0,1,1,0,2,0,9,182,41,54,1,41,87,18,18,21,5,10.75,1,17
507,0,1,0,0,1,0,6,0,8,197,58,58,6,78,89,24,20,13,4,21.48,1,17
514,1,0,0,0,1,0,6,1,9,273,67,67,0,58,78,43,53,24,5,26.83,1,17
527,0,1,0,0,1,0,5,1,5,190,31,58,9,125,167,72,41,18,15,22.75,1,17
530,0,0,1,0,1,0,4,0,6,234,80,80,0,42,86,11,10,14,5,8.61,1,17
532,0,0,0,1,1,0,5,1,8,156,27,40,19,87,231,15,19,16,15,10.53,1,17
593,0,1,0,0,1,0,4,1,7,191,63,65,1,103,152,24,16,15,15,17.91,1,17
606,0,1,0,0,1,0,4,0,5,127,34,43,13,45,103,103,45,24,9,21.83,1,17
653,0,1,0,0,1,0,4,1,7,118,28,37,38,80,108,83,28,19,16,29.41,1,17
667,0,0,0,0,1,0,4,0,9,108,54,54,16,114,337,46,30,13,15,17.36,1,17
681,0,1,0,0,1,2,3,0,9,157,45,45,6,37,124,124,47,17,4,19.32,1,17
786,0,0,0,1,1,0,6,1,8,156,25,37,9,89,125,7,5,20,7,5.7,1,17
797,0,1,0,0,1,2,4,1,9,178,66,68,0,2,65,65,36,15,6,19.56,1,17
815,0,1,0,0,1,2,4,0,8,271,76,76,5,107,332,32,33,17,9,10.32,1,17
837,0,0,0,1,1,0,4,1,8,145,27,39,19,95,153,14,7,27,5,7.51,1,17
861,0,0,0,1,1,0,3,0,5,282,41,93,11,105,172,19,19,14,9,9.82,1,17
888,1,0,0,0,1,2,4,1,6,184,65,65,10,36,135,135,43,22,7,24.37,1,17
970,0,1,0,0,1,0,5,0,8,198,76,76,1,93,146,27,30,14,7,21.96,1,17
1013,0,0,0,0,1,2,4,0,8,130,22,40,43,101,270,33,19,21,3,13.03,1,17
1052,0,0,0,1,1,3,4,0,8,368,60,75,0,64,93,86,62,21,6,23.11,1,17
1068,1,0,0,0,1,0,5,1,8,220,58,71,2,69,100,36,29,13,4,16.34,1,17
1079,1,0,0,0,1,0,4,1,6,183,33,69,22,59,86,31,29,19,11,20.88,1,17
1109,0,1,0,0,1,0,4,0,9,198,31,66,21,102,267,32,48,13,5,26.24,1,17
1156,0,0,1,0,1,0,4,0,9,252,64,64,2,127,276,25,15,14,4,13.95,1,17
1164,0,1,0,0,1,1,5,0,9,112,22,39,28,93,237,103,56,21,6,25.95,1,17
1168,0,0,0,1,1,0,4,1,8,223,78,78,7,49,74,8,7,13,7,6.17,1,17
1171,0,0,0,1,1,0,4,0,8,188,54,54,2,57,69,31,20,28,9,15.69,1,17
1209,0,0,1,0,0,0,4,1,8,287,81,87,0,97,174,36,28,19,6,19.32,1,17
1215,0,0,1,0,1,0,4,1,4,345,104,104,1,74,88,45,29,23,3,19.27,1,17
1230,0,0,0,0,1,0,6,1,8,146,25,35,24,85,267,13,6,15,3,5.69,1,17
1288,0,0,0,0,1,0,2,1,7,189,124,124,0,33,63,28,19,13,4,20.93,1,17
1314,0,0,1,0,1,0,4,0,9,256,68,68,9,57,105,40,25,15,18,19.04,1,17
1339,1,0,0,0,1,0,4,1,8,255,60,67,2,69,124,30,37,15,8,27.96,1,17
1349,0,0,0,1,1,0,5,0,8,220,99,99,0,67,126,22,11,21,6,15.24,1,17
1359,1,0,0,0,1,0,5,1,8,176,82,82,1,56,53,33,32,9,5,15.22,1,17
1436,1,0,0,0,0,0,4,0,9,229,60,92,5,95,203,5,3,17,4,5.06,1,17
1441,0,1,0,0,1,0,4,0,8,106,31,38,19,87,158,125,35,23,10,26.49,1,17
1486,1,0,0,0,1,0,4,1,6,175,59,59,15,102,127,16,31,18,5,12.55,1,17
1489,1,0,0,0,1,0,4,0,7,447,121,161,0,45,66,23,25,40,7,17.91,1,17
1491,1,0,0,0,1,0,4,1,6,127,64,64,11,76,138,50,15,25,14,16.57,1,17
1557,0,1,0,0,1,2,4,1,8,163,79,79,5,103,168,8,9,19,5,7.47,1,17
1582,0,0,0,0,1,0,4,1,7,169,41,49,4,78,161,10,7,12,6,5.5,1,17
1602,0,1,0,0,1,0,7,1,9,205,27,50,13,60,104,17,17,19,11,6.8,1,17
1611,1,0,0,0,1,0,3,1,8,214,56,58,3,130,452,95,46,22,3,28.89,1,17
1613,0,1,0,0,1,0,4,1,7,147,28,30,34,36,63,28,16,15,3,17.97,1,17
1619,1,0,0,0,1,0,6,0,9,129,41,47,11,54,85,11,10,16,4,8.61,1,17
1646,0,0,0,1,1,2,4,0,9,371,151,151,0,91,186,17,17,18,7,9.67,1,17
1654,0,1,0,0,1,0,2,0,9,143,43,43,14,9,34,34,21,16,7,17.12,1,17
1658,1,0,0,0,1,0,3,0,9,126,18,30,41,30,70,25,13,18,7,8.88,1,17
1664,0,0,0,1,1,2,4,1,8,154,52,67,6,31,61,39,36,23,3,11.18,1,17
1752,0,1,0,0,1,0,5,0,7,116,20,27,34,68,109,18,26,15,7,17.47,1,17
1827,0,0,1,0,1,0,5,0,9,405,131,131,1,50,64,14,8,20,7,9.85,1,17
1829,1,0,0,0,1,0,2,1,8,158,24,38,31,94,167,46,18,8,7,20.66,1,17
1918,0,0,0,1,1,2,4,1,9,415,97,136,0,109,233,92,56,17,7,17.71,1,17
1944,1,0,0,0,1,0,4,1,8,189,60,60,4,82,100,80,14,15,18,34.02,1,17
1960,0,0,0,1,1,0,4,1,9,97,17,36,20,55,84,43,20,16,3,19.87,1,17
1974,0,0,0,1,1,0,4,0,8,127,66,66,9,85,120,16,19,16,6,14.48,1,17
2033,1,0,0,0,1,5,4,0,9,165,52,52,4,73,170,43,29,22,5,17.8,1,17
2067,0,1,0,0,1,0,4,1,7,149,48,64,7,73,134,20,13,35,7,10.54,1,17
2073,0,1,0,0,1,3,4,1,8,235,70,70,1,45,74,10,8,21,6,11.67,1,17
2213,0,1,0,0,1,3,5,0,9,157,58,58,4,84,102,21,13,17,4,10.29,1,17
2216,0,1,0,0,1,0,3,1,8,202,39,61,5,112,332,112,48,26,4,16.31,1,17
2321,0,0,0,0,1,2,4,1,6,287,116,116,0,98,195,50,30,8,5,21.09,1,17
2390,0,0,0,1,1,0,5,1,8,125,45,45,12,61,70,25,21,16,7,15.3,1,17
2444,0,1,0,0,1,0,5,1,8,177,53,58,4,41,70,43,35,37,7,17.52,1,17
2458,0,1,0,0,1,3,4,1,9,277,97,97,0,77,141,20,23,23,3,14.5,1,17
2506,0,0,1,0,1,0,4,0,8,270,45,70,7,65,147,147,46,20,8,24.72,1,17
2512,0,0,1,0,1,0,4,1,8,221,43,53,3,107,159,64,19,15,7,22.51,1,17
2527,1,0,0,0,1,0,6,0,9,220,59,59,3,25,71,71,42,19,15,23.8,1,17
2597,0,0,1,0,1,2,4,1,5,243,62,76,0,67,144,13,15,13,7,12.12,1,17
2628,0,0,0,1,1,0,4,0,9,152,16,60,36,143,198,15,22,23,6,16.41,1,17
