"headline","date"
"PR. WILLIAM COUNTY AIMS TO IMPROVE ELECTION DAY FOR VOTERS","2013-11-05"
"CIVIL RIGHTS GROUP TO MONITOR VA. POLLING PLACES TODAY","2013-11-05"
"KIN ELECT TO SERVE TOGETHER AT POLLING PLACE","2013-11-05"
"STATE'S PRISONER RE-ENTRY PROGRAM HITS MILESTONE","2013-11-05"
"CARNIVAL NOT CRUISING FROM NORFOLK IN 2014","2013-11-05"
"STUDY SAYS 518,000 VIRGINIANS ELIGIBLE FOR HEALTH TAX CREDITS","2013-11-05"
"VMI TRACKING DOWN COMPUTERS THAT MAY STILL HOLD DATA","2013-11-05"
"METRO’S EVOLVING STRATEGY FOR HOLIDAY SERVICE","2013-11-05"
"FILM: ’12 YEARS A SLAVE’ HAS A LITTLE-KNOWN CONNECTION TO NORTHERN VIRGINIA","2013-11-05"
"AUDIT FINDS VCU DEFICIENCIES IN PROCEDURES","2013-11-05"
"IN MANASSAS, PATE BEGINS AS CITY MANAGER","2013-11-05"
"CITY AUDITOR QUESTIONS SCHOOL, CITY DEAL WITH HEALTH CARE PROVIDER","2013-11-05"
"NORFOLK FACES ONE DIFFICULT TASK: POVERTY REDUCTION","2013-11-05"
"TO PREVENT HARM, VIRGINIA BEACH STARTS TREE REMOVAL","2013-11-05"
"CHARLOTTESVILLE PUBLIC HOUSING SETTLEMENT MOVES FORWARD","2013-11-05"
"BOTETOURT COUNTY TAKES ROALD DAHL BOOK OUT OF CLASSROOM AFTER PARENT COMPLAINS","2013-11-05"
"AFFORDABLE CARE ACT COULD PROMPT LEADERS TO HIRE SUBSTITUTE TEACHERS FROM EMPLOYMENT AGENCY","2013-11-05"
"INSECURITY AND GUN-FREE PUBLIC VENUES","2013-11-05"
"PLEASE VOTE","2013-11-05"
"BRIDGING THE GAP","2013-11-05"
"WE CAN DEFY EXPECTATIONS","2013-11-05"
"FREEDOM TO VOTE IS UNDER THREAT","2013-11-05"
"PARKWAY BUDDIES","2013-11-05"
"THE POST’S VIRGINIA ENDORSEMENTS FOR 2013","2013-11-05"
"DVORAK: FEMALE VOTERS IN VIRGINIA POISED TO SEND A MESSAGE","2013-11-05"
"COX AND GREASON: AN EDUCATION PATH FOR EVERY CHILD","2013-11-05"
"AS MCDONNELLS CAST BALLOTS, VA. GOVERNOR URGES SUCCESSOR TO ‘UNITE PEOPLE’","2013-11-06"
"NOW COMES THE HARD PART FOR VIRGINIA GOV.-ELECT TERRY MCAULIFFE","2013-11-06"
"MCAULIFFE WINS CLOSE VIRGINIA GOVERNOR RACE","2013-11-06"
"MCAULIFFE EDGES CUCCINELLI TO WIN GOVERNOR’S RACE","2013-11-06"
"MARSHALL WINS SEVENTH TERM","2013-11-06"
"DEMOCRATIC COALITION RETURNS TO VA., DEFEATS GOP’S CUCCINELLI","2013-11-06"
"MCAULIFFE WINS GOVERNOR’S RACE","2013-11-06"
"MCAULIFFE PLEDGES COOPERATION, PROGRESS IN VICTORY SPEECH","2013-11-06"
"TERRY MCAULIFFE, DEMOCRAT, IS ELECTED GOVERNOR OF VIRGINIA IN TIGHT RACE","2013-11-06"
"MCAULIFFE EDGES CUCCINELLI IN A RACE OF NEGATIVES","2013-11-06"
"MCAULIFFE TO BECOME 72ND GOVERNOR OF VIRGINIA","2013-11-06"
"MCAULIFFE ELECTED GOVERNOR, NORTHAM LIEUTENANT GOVERNOR; AG RACE CLOSE","2013-11-06"
"MCAULIFFE’S WIN WILL HAVE MAJOR IMPACT ON VIRGINIA","2013-11-06"
"HERRING EDGES INTO LEAD IN TIGHT ATTORNEY GENERAL RACE","2013-11-06"
"OBENSHAIN, HERRING IN DEAD HEAT IN VIRGINIA ATTORNEY GENERAL’S RACE; RECOUNT EXPECTED","2013-11-06"
"OBENSHAIN BY A NOSE","2013-11-06"
"OBENSHAIN CLINGS TO 1-POINT LEAD","2013-11-06"
"ATTORNEY GENERAL RACE TOO CLOSE TO CALL","2013-11-06"
"ATTORNEY GENERAL RECOUNT LOOMS, CANDIDATE SAYS RACE 'FAR FROM OVER'","2013-11-06"
"TIGHT RACE FOR ATTORNEY GENERAL UNDECIDED LATE TUESDAY","2013-11-06"
"WITH MOST VOTES COUNTED, ATTORNEY GENERAL RACE CLOSE","2013-11-06"
"EXIT POLL: MIXED ON CANDIDATES, SOUR ON ECONOMY","2013-11-06"
"EXIT POLL SHOWS VOTERS QUESTION ETHICAL STANDARDS","2013-11-06"
"MCAULIFFE CONSISTENTLY OUTSPENT CUCCINELLI","2013-11-06"
"VIRGINIA GETS DIVIDED GOVERNMENT","2013-11-06"
"MOTIVATED VA. VOTERS TURN OUT","2013-11-06"
"VOTE BREAKDOWN: HOW VIRGINIANS VOTED","2013-11-06"
"FOR MANY, A VOTE OF CONVICTION","2013-11-06"
"VIRGINIA VOTERS TURN OUT TO CAST BALLOTS IN CONTENTIOUS RACE","2013-11-06"
"CHRISTIE’S WIN, CUCCINELLI’S LOSS: TWO PLAYBOOKS FOR DEFENDING AGAINST THE ‘WAR ON WOMEN’","2013-11-06"
"CHRISTIE IN N.J.; MCAULIFFE IN VA. - GOP GETS GLIMMER OF GOOD NEWS AFTER 2012","2013-11-06"
"VIRGINIA, NEW JERSEY RESULTS HIGHLIGHT REPUBLICAN PARTY’S DIVISIONS, PROBLEMS","2013-11-06"
"NATION WATCHES AS VIRGINIA AWAITS ITS NEW GOVERNOR","2013-11-06"
"THE REPUBLICANS’ SURROGATE PROBLEM","2013-11-06"
"LOUDOUN SENDS MCAULIFFE TO RICHMOND","2013-11-06"
"SOUTHWEST VIRGINIA TRIED, BUT FAILED TO GIVE CUCCINELLI THE GOVERNOR'S MANSION","2013-11-06"
"NORFOLK'S NORTHAM WINS VIRGINIA LT. GOV. RACE","2013-11-06"
"NORTHAM WINS LIEUTENANT GOVERNOR'S RACE","2013-11-06"
"RALPH NORTHAM WINS RACE FOR VIRGINIA LIEUTENANT GOVERNOR","2013-11-06"
"NORTHAM DEFEATS JACKSON, ELECTED VA. LIEUTENANT GOVERNOR","2013-11-06"
"NORTHAM DEFEATS JACKSON FOR LIEUTENANT GOVERNOR","2013-11-06"
"GOP RETAINS CONTROL OF HOUSE OF DELEGATES","2013-11-06"
"RAMADAN NARROWLY EARNS RE-ELECTION","2013-11-06"
"THREE HOUSE OF DELEGATES RACES SEPARATED BY 1 PERCENTAGE POINT","2013-11-06"
"2 INCUMBENTS LOSE, BUT GOP KEEPS VA. HOUSE MAJORITY","2013-11-06"
"BELL CONCEDES TO RAMADAN IN 87TH DISTRICT","2013-11-06"
"JEREMY MCPIKE MAY BE WINNER IN 31ST HOUSE DISTRICT","2013-11-06"
"31ST DISTRICT ONE OF TWO HOUSE SEATS LEFT UNCALLED IN STATE","2013-11-06"
"BERG WINS RACE FOR 29TH DISTRICT HOUSE DELEGATE","2013-11-06"
"FUTRELL DECLARES VICTORY IN 2ND DISTRICT","2013-11-06"
"LAROCK DEFEATS DANIEL IN 33RD","2013-11-06"
"LOUDOUN VOTERS BACK GOP DELEGATES BY SLIM MARGINS","2013-11-06"
"REPUBLICANS SWEEP MOST LOCAL HOUSE SEATS; DUDENHEFER LOSES BY A HAIR","2013-11-06"
"MASON UPENDS WATSON FOR 93RD HOUSE RACE","2013-11-06"
"YANCEY RETAINS 94TH DISTRICT SEAT, BUT FARINHOLT MAY SEEK RECOUNT","2013-11-06"
"LEFTWICH WINS IN VA. HOUSE 78TH DISTRICT","2013-11-06"
"GOP POISED TO KEEP ADVANTAGE IN VA. HOUSE","2013-11-06"
"TAYLOR WINS IN VIRGINIA HOUSE 85TH DISTRICT","2013-11-06"
"LEWIS WINS AGAIN IN VIRGINIA HOUSE 100TH","2013-11-06"
"DESTEPH WINS IN VA. HOUSE 82ND DISTRICT","2013-11-06"
"VILLANUEVA RE-ELECTED IN VIRGINIA HOUSE 21ST","2013-11-06"
"DAVIS CLAIMS WIN IN THE VIRGINIA HOUSE 84TH","2013-11-06"
"SCOTT WINS REELECTION TO FIFTH TERM","2013-11-06"
"REPUBLICAN YOST WINS 2ND TERM IN HOUSE OF DELEGATES 12TH DISTRICT","2013-11-06"
"REPUBLICAN AUSTIN HANDILY CAPTURES PUTNEY’S DISTRICT","2013-11-06"
"BYRON DEFEATS CYPHERT FOR RE-ELECTION TO 22ND HOUSE DISTRICT","2013-11-06"
"CLINE, FARISS RE-ELECTED","2013-11-06"
"GARRETT RE-ELECTED TO THIRD TERM IN HOUSE OF DELEGATES","2013-11-06"
"BYRON EXTENDS HER STREAK TO NINTH TERM AS DELEGATE","2013-11-06"
"REPUBLICAN NICK RUSH RE-ELECTED IN 7TH DISTRICT","2013-11-06"
"HEAD DEFEATS CATHCART FOR 2ND HOUSE TERM","2013-11-06"
"ADAMS ELECTED TO REPLACE MERRICKS IN HOUSE OF DELEGATES","2013-11-06"
"ADAMS OVERCOMES JONES IN 16TH DISTRICT","2013-11-06"
"MARSHALL ELECTED TO SEVENTH TERM","2013-11-06"
"MOREFIELD CRUISES TO WIN OVER O'QUINN","2013-11-06"
"COLLEGE REPUBLICANS, UNIVERSITY DEMOCRATS RESPOND TO ELECTION","2013-11-06"
"UVA LAW PROFESSOR TO ARGUE PUBLIC MEETING PRAYER CASE IN SUPREME COURT","2013-11-06"
"POLLING BOOTHS AT LIBERTY UNIVERSITY PRECINCT QUIET TUESDAY","2013-11-06"
"RICHMOND COUNCIL ASKING AMTRAK TO ADD BIKE SERVICE","2013-11-06"
"STACEY KINCAID IS ELECTED FAIRFAX COUNTY’S FIRST FEMALE SHERIFF","2013-11-06"
"N.VA. VOTERS WEIGH SCHOOL BONDS, A NEW SCHOOL BOARD MEMBER IN WOODBRIDGE","2013-11-06"
"C.T. WOODY CRUISES TO HIS THIRD TERM","2013-11-06"
"MAN TOLD HE CAN'T PULL POLITICAL SIGNS FROM MONUMENT AVE.","2013-11-06"
"POSTON IS NORFOLK REVENUE COMMISSIONER","2013-11-06"
"UNDERWOOD KEEPS JOB AS NORFOLK PROSECUTOR","2013-11-06"
"DEMS GAIN STAFFORD SEAT","2013-11-06"
"GOP GAINS TWO SPOTS ON SPOTSYLVANIA BOARD","2013-11-06"
"ELECTION DAY OFFERS LITTLE TO CHEER ABOUT","2013-11-06"
"DEMOCRATS GAIN ADVANTAGE ON ALBEMARLE COUNTY BOARD OF SUPERVISORS","2013-11-06"
"SUPERVISOR FILES LIBEL SUIT AGAINST CULPEPER PROSECUTOR","2013-11-06"
"ALLEN OUSTS JOHNSON IN ROANOKE SHERIFF’S RACE","2013-11-06"
"REPUBLICANS SWEEP ROANOKE COUNTY SUPERVISORS RACES","2013-11-06"
"INCUMBENTS TAKE FRANKLIN COUNTY SUPERVISORS SEATS","2013-11-06"
"KING, CREED WIN MONTGOMERY COUNTY SUPERVISOR SEATS","2013-11-06"
"NEWMAN REMAINS HOPEWELL PROSECUTOR","2013-11-06"
"A VOTE FOR MODERATION","2013-11-06"
"LESSONS FROM ELECTION DAY","2013-11-06"
"FIRST WINNER","2013-11-06"
"TERRY MCAULIFFE’S MODERATE MESSAGE PREVAILS","2013-11-06"
"MCAULIFFE’S TASK: CLEAN, CENTRIST GOVERNMENT","2013-11-06"
"FIVE LESSONS FROM THE 2013 VIRGINIA GUBERNATORIAL ELECTION","2013-11-06"
"IMPROVING SCHOOL SAFETY ON THE CHEAP","2013-11-06"
"MORE CHAOS HURTS HEALING DEPARTMENT","2013-11-06"
"SCHAPIRO: VIRGINIA OPTS FOR SPLINTERED GOVERNMENT","2013-11-06"
"HINKLE: COULD A SMALL STADIUM DO BIG GOOD?","2013-11-06"
"RICHIE: THE BEST WAY TO SLAY VIRGINIA’S GERRYMANDER","2013-11-06"
"MCAULIFFE BUILDING A BIPARTISAN TEAM","2013-11-07"
"IN RICHMOND, GOV.-ELECT MCAULIFFE ANNOUNCES BIPARTISAN TRANSITION TEAM","2013-11-07"
"TERRY MCAULIFFE LAYS OUT BIPARTISAN VISION","2013-11-07"
"MCAULIFFE SETS EARLY AGENDA, REACHES ACROSS AISLE","2013-11-07"
"TERRY MCAULIFFE’S VAGUE CAMPAIGN PROMISES FACE COLD REALITIES IN VIRGINIA","2013-11-07"
"MCAULIFFE ANNOUNCES TRANSITION TEAM, EXECUTIVE ORDERS","2013-11-07"
"TEA PARTY BITTER WITH GOP OVER GOVERNOR RACES, SAYS KEN CUCCINELLI WAS ROBBED","2013-11-07"
"HOW TERRY MCAULIFFE MAPPED HIS VIRGINIA WIN","2013-11-07"
"BUSINESSES INVEST IN CAMPAIGNS","2013-11-07"
"STILL, CUCCINELLI ALMOST PULLED IT OFF","2013-11-07"
"OBAMACARE AN EFFECTIVE GOP WEAPON IN KEN CUCCINELLI’S CAMPAIGN","2013-11-07"
"FINGER-POINTING AFTER CUCCINELLI’S LOSS IN RACE","2013-11-07"
"VIRGINIA G.O.P. ASSESSES LOSS TO RIVAL IT SAW AS WEAK","2013-11-07"
"CLOSE RESULT IN VA. GOVERNOR’S RACE HARDENS GOP DIVISIONS","2013-11-07"
"A JUMP IN VOTER TURNOUT THIS YEAR","2013-11-07"
"VOTERS CAST 11,000 WRITE-IN VOTES, FOUR TIMES 2009 TOTAL","2013-11-07"
"WRITE-INS ADD CURIOUS TOUCH TO LOCAL ELECTION","2013-11-07"
"VOTER TURNOUT DOWN IN SOUTHWEST VIRGINIA","2013-11-07"
"MCAULIFFE DRAWS STRONG SUPPORT FROM PETERSBURG","2013-11-07"
"VIRGINIA TRIGGERS GOP CIRCULAR FIRING SQUAD","2013-11-07"
"VIRGINIA ELECTION: WHAT THE POLLS GOT -- AND WHAT THEY MISSED","2013-11-07"
"NORTHAM WINS WITH 'EASTERN SHORE WAY'","2013-11-07"
"AG CANDIDATES PREPARING FOR RECOUNT","2013-11-07"
"RECOUNTS NOT NEW IN VIRGINIA","2013-11-07"
"VIRGINIA’S LAST REPUBLICAN STANDING: MARK OBENSHAIN HOPES TO SURVIVE RECOUNT","2013-11-07"
"VIRGINIA'S A.G. RACE STILL IN PLAY","2013-11-07"
"HERRING, OBENSHAIN MAY FACE RECOUNT IN VA. AG’S RACE; DECEMBER OUTCOME LIKELY","2013-11-07"
"VIRGINIA ATTORNEY GENERAL ELECTION: A RECOUNT'S COMING – EVENTUALLY","2013-11-07"
"VA. AG'S RACE REMAINS UNDECIDED DAY LATER","2013-11-07"
"A DAY LATER, STILL TOO CLOSE TO CALL","2013-11-07"
"LEAD CHANGES AGAIN IN AG RACE","2013-11-07"
"OBENSHAIN LEADS AG RACE, BUT RECOUNT IS LIKELY","2013-11-07"
"CANDIDATES LINE UP FOR NORTHAM'S SENATE SEAT","2013-11-07"
"VIRGINIA DEMOCRATS HOLD OUT HOPE FOR MORE STATE HOUSE SEATS AS VOTES ARE EXAMINED","2013-11-07"
"P.W. VOTERS FLIP HOUSE ELECTION","2013-11-07"
"LAROCK IS LOUDOUN’S NEWEST DELEGATE","2013-11-07"
"FARINHOLT CONCEDES 94TH DISTRICT RACE TO YANCEY","2013-11-07"
"GREASON EDGES MILLER IN 32ND DISTRICT","2013-11-07"
"FOWLER WINS 55TH DISTRICT DELEGATE RACE","2013-11-07"
"AUSTIN TO FILL PUTNEY'S SEAT","2013-11-07"
"GOP: VIRGINIA RESULTS BOOST 2014 OBAMACARE ATTACKS","2013-11-07"
"G.O.P. WEIGHS LIMITING CLOUT OF RIGHT WING","2013-11-07"
"JUDGE DENIES STAY IN PRAYER CASE","2013-11-07"
"NSU VICE RECTOR CHARGED WITH HEALTH CARE FRAUD","2013-11-07"
"NORFOLK STATE VICE RECTOR CHARGED IN MEDICAID SCAM","2013-11-07"
"GUN ACTIVIST PLEADS GUILTY TO WEAPONS CHARGES FOR LOADING SHOTGUN IN DC’S FREEDOM PLAZA","2013-11-07"
"EX-AP REPORTER LEWIS TAKES JOB WITH MCGUIREWOODS","2013-11-07"
"CHRIS ZIMMERMAN TO QUIT ARLINGTON COUNTY BOARD; SPECIAL ELECTION TO BE SET IN SPRING","2013-11-07"
"CONNELLY IS TOP VOTE GETTER, SNYDER, OLIVER & SZE ELECTED TO F.C. COUNCIL","2013-11-07"
"LOUDOUN VOTERS APPROVE $62 MILLION IN BONDS","2013-11-07"
"SCHOOL LEADERS TAKE QUESTIONS ON LOUDOUN VALLEY PROBE","2013-11-07"
"A TALE OF TWO MEALS TAXES","2013-11-07"
"HEAPS OF PRAISE FOR SIGN SMUGGLER; COPS SAY THEY WERE WRONG","2013-11-07"
"BEACH SCHOOLS INTRODUCE ANTI-BULLYING, BIAS RESOLUTION","2013-11-07"
"NEWPORT NEWS MAN SUES MEDICAL COMPANY, SHERIFF OVER LOSING TESTICLE","2013-11-07"
"ALBEMARLE COUNTY FEELING BLUE AFTER BIG DEM WINS","2013-11-07"
"IN AN OFF YEAR, VOTER TURNOUT MIXED IN REGION","2013-11-07"
"FISCAL CONSERVATIVES SPENT THE MOST IN COUNTY RACES","2013-11-07"
"IF THE TIE HOLDS UP, THE HAT COMES OUT","2013-11-07"
"FOOD BENEFITS SLASHED","2013-11-07"
"REDISTRICTING POLITICS","2013-11-07"
"47,000 REASONS TO EXPAND MEDICAID","2013-11-07"
"2,000 SECOND CHANCES","2013-11-07"
"FINAL WORD ON PRAYER STILL TO COME","2013-11-07"
"MCAULIFFE SHOULD MOVE AGGRESSIVELY ON ETHICS REFORM IN VIRGINIA","2013-11-07"
"ELECTION IS REJECTION OF IDEOLOGY","2013-11-07"
"THE PORTENTS OF ELECTION 2013","2013-11-07"
"REFLECTIONS","2013-11-07"
"HONESTLY SINCERE","2013-11-07"
"MCCARTNEY: MCAULIFFE HAS MASTERED STYLE OF A VA. GOVERNOR, BUT HE HAS TO DELIVER ON SUBSTANCE","2013-11-07"
"JACKMAN: HOW THE STATE OF NOVA VOTED, 2013 EDITION","2013-11-07"
"MCCARTNEY: TERRY MCAULIFFE VICTORY SHOWS PURPLE VIRGINIA IS ACQUIRING BLUISH TINGE","2013-11-07"
"DILLARD: THE SUN RISES, REGARDLESS OF WHO WINS","2013-11-07"
"YOUNG: BETTER HEALTH = A BETTER COMMUNITY","2013-11-07"
"MCAULIFFE, MCDONNELL MEET","2013-11-08"
"MCDONNELL BRIEFS MCAULIFFE ON VA. GOVERNOR’S JOB AT EXECUTIVE MANSION LUNCH","2013-11-08"
"TRANSITION BEGINS OVER LUNCH CHAT","2013-11-08"
"VIRGINIA GOVERNOR: MCDONNELL, MCAULIFFE PLEDGE TO WORK TOGETHER DURING TRANSITION","2013-11-08"
"SABATO, WITHOUT NAMING SOURCES, SAYS CUCCINELLI CONSIDERED REMOVING MCDONNELL FROM OFFICE","2013-11-08"
"BROTHER OF STAR CEO DID WORK ON VA. GOV. ROBERT MCDONNELL’S HOME","2013-11-08"
"POSSIBLE DISCREPANCY IN FAIRFAX ABSENTEE VOTES COULD AFFECT COUNT IN AG RACE","2013-11-08"
"AG'S RACE COULD HINGE ON PROVISIONAL BALLOTS","2013-11-08"
"RECOUNT APPEARS LIKELY IN RACE BETWEEN OBENSHAIN, HERRING","2013-11-08"
"OBENSHAIN HOLDS LEAD IN ONGOING ATTORNEY GENERAL’S RACE","2013-11-08"
"BIG VIRGINIA METRO AREAS PROPEL SHIFT TOWARD DEMOCRATS","2013-11-08"
"STARK REGIONAL DIVISIONS IN VA. ELECTION RESULTS","2013-11-08"
"CANDIDATES CROWD TO REPLACE NORTHAM IN STATE SENATE","2013-11-08"
"CANDIDATES TURNED TO SOCIAL MEDIA IN LEGISLATIVE RACES","2013-11-08"
"SESSOMS, FRAIM, DEVELOPER FLEW UP TO FETE MCAULIFFE","2013-11-08"
"VIRGINIA 4TH-GRADERS' READING, MATH SKILLS IMPROVE","2013-11-08"
"STUDENTS DIP FEET INTO ONLINE LEARNING ... NOW REQUIRED","2013-11-08"
"ABC SAYS AGENTS VIOLATED POLICY IN STUDENT'S ARREST","2013-11-08"
"LESSONS ON IMMIGRATION IN TWO GOVERNORS’ RACES","2013-11-08"
"STAR SCIENTIFIC’S WILLIAMS STEPPING DOWN AS CEO","2013-11-08"
"CEO OF COMPANY IN VA. GOVERNOR'S SCANDAL TO RESIGN","2013-11-08"
"MEDIA GENERAL SHAREHOLDERS APPROVE MERGER WITH NEW YOUNG BROADCASTING","2013-11-08"
"MCDONNELL APPOINTS THREE TO NSU'S BOARD","2013-11-08"
"THREE APPOINTED TO BOARD AT NSU","2013-11-08"
"FBI: MCINTIRE SCHOOL DEAN ACCESSED ILLICIT VIDEOS OF CHILDREN","2013-11-08"
"PAUL D. CAMP COLLEGE TO CUT 9 NON-FACULTY JOBS","2013-11-08"
"RICHMOND AGENCIES DISCUSS TRANSPORTATION ROLES","2013-11-08"
"PARKING LOT OR PARK? ALEXANDRIA BOAT CLUB’S RIVERFRONT LAND PROMPTS VERBAL BATTLE","2013-11-08"
"FAIRFAX SCHOOLS SUPERINTENDENT PROPOSES TEACHER SALARY INCREASES","2013-11-08"
"PRINCE WILLIAM CLASS SIZES ARE HIGHEST IN VIRGINIA, WASHINGTON REGION","2013-11-08"
"LOUDOUN SUPERVISORS PASSIONATELY DEFEND REDSKINS","2013-11-08"
"RICHMOND MAYOR TO PRESENT SHOCKOE BALLPARK PROPOSAL MONDAY","2013-11-08"
"2 PETERSBURG SCHOOLS TO GO YEAR-ROUND","2013-11-08"
"ACHIEVABLE DREAM A GO FOR SEATACK IN VA. BEACH","2013-11-08"
"LYNCHBURG TOURISM CHANGES CONCERN OFFICIALS","2013-11-08"
"SHRINKING STUDENT POPULATION IN BEDFORD DIVISION COULD CHANGE PLANS FOR NEW SCHOOL","2013-11-08"
"MONTGOMERY SCHOOL BOARD FOUND NOT LIABLE IN DISCRIMINATION LAWSUIT","2013-11-08"
"STAMBAUGH IS WRITE-IN WINNER","2013-11-08"
"MR. CUCCINELLI HAS HIMSELF TO BLAME FOR LOSS","2013-11-08"
"CHESTERFIELD VOTERS WANT IT ALL FOR FREE","2013-11-08"
"REPUBLICAN SHRINKAGE","2013-11-08"
"THE LESSON OF VIRGINIA","2013-11-08"
"LESSONS FOR VIRGINIA REPUBLICANS","2013-11-08"
"THE REASON FOR THE RESULT","2013-11-08"
"THE PRIMARY PATH NOT TAKEN","2013-11-08"
"POT LUCK","2013-11-08"
"WILLIAMS: THIS IS NOT YOUR FATHER’S HENRICO","2013-11-08"
"CILLIZZA: ROBERT SARVIS DIDN’T COST KEN CUCCINELLI THE VIRGINIA GOVERNOR’S RACE","2013-11-08"
"RICHMAN: THE MESSAGE SENT BY VOTERS","2013-11-08"
"PROVO: LESSONS ON A DIVIDED GOVERNMENT","2013-11-08"
"PAIGE: A POST-ELECTION SCRAMBLE - AND WAIT","2013-11-08"
"SYDOW: THE TRANSFORMATIVE POWER OF A COLLEGE DEGREE","2013-11-08"
"LIFE TIMES SIX","2013-11-08"
"'CAMPAIGN'S OVER, IT'S TIME TO GOVERN'","2013-11-11"
"MCAULIFFE HITS THE GROUND RUNNING, TRIES TO LOWER TOLLS","2013-11-11"
"SOME THINGS WON'T CHANGE AT GOVERNOR'S MANSION","2013-11-11"
"VIRGINIA ATTORNEY GENERAL RACE NARROWS FURTHER","2013-11-11"
"RECOUNT LIKELY AS ATTORNEY GENERAL MARGIN TIGHTENS","2013-11-11"
"INSIDE A GREEN BILLIONAIRE'S VIRGINIA CRUSADE","2013-11-11"
"MCAULIFFE’S VICTORY MAP TRACES OBAMA’S","2013-11-11"
"E.W. JACKSON TO REVIVE HIS ADVOCACY GROUP S.T.A.N.D.","2013-11-11"
"6TH DISTRICT GOP PLANS PARTY CANVASS NOV. 21 TO SELECT STATE SENATE NOMINEE","2013-11-11"
"12TH DISTRICT RACE WAS EXPENSIVE, BUT COST OF CAMPAIGNS HARD TO TALLY","2013-11-11"
"U.VA. STANDS TO LOSE IF VA. DOESN'T EXPAND MEDICAID","2013-11-11"
"TOLL PLAINTIFFS SEEK ANOTHER HEARING BY VA. HIGH COURT","2013-11-11"
"VIRGINIA RETIREMENT SYSTEM SEEKS PATH INTO INVESTMENT MANAGEMENT","2013-11-11"
"VIRGINIA LAWMAKERS WEIGH IN ON FARM BILL DEBATE","2013-11-11"
"KAINE SAYS MILITARY, VETS NEED TO PRESS FOR BUDGET AGREEMENT","2013-11-11"
"AT CSIS, PENTAGON OFFICIALS AND ANALYSTS ARE PESSIMISTIC ABOUT THE FUTURE","2013-11-11"
"ROANOKE AREA FOOD BANKS STRAIN WITH CUTS TO SNAP BENEFITS","2013-11-11"
"WILDERNESS BATTLEFIELD LAND DONATED BY WAL-MART","2013-11-11"
"WALMART DONATES CIVIL WAR BATTLEFIELD ACRES TO VA.","2013-11-11"
"U.VA. LAUNCHES INSTITUTE OF WORLD LANGUAGES","2013-11-11"
"UVA-WISE ROTC PROGRAM SAVED ALONG WITH ETSU'S","2013-11-11"
"MAYOR'S SECURITY WILL COST RICHMOND MORE THAN $300,000 THIS YEAR","2013-11-11"
"RICHMOND’S FOIA REQUEST RESPONSE WAS DELAYED","2013-11-11"
"SHOCKOE BALLPARK PLAN TO TOP $200 MILLION INVESTMENT","2013-11-11"
"RICHMOND PROSECUTOR HERRING WON'T SEEK FEDERAL POST","2013-11-11"
"DENIED MEALS TAX, CHESTERFIELD FACES TOUGH DECISIONS","2013-11-11"
